param1,fitval1,fiterror1,fitval2,fiterror2,fitval3,fiterror3,fitval4,fiterror4,fitval5,fiterror5,fitval6,fiterror6,fitval7,fiterror7,fitval8,fiterror8,fitval9,fiterror9
pB,0.0014,0.00021,0.00114,0.00022,0.00228,0.00037999999999999997,0.00202,0.00037,0.0033200000000000005,0.00044,0.008490000000000001,0.0046,0.00775,0.00772,0.00098,0.00297,0.00212,0.0010199999999999999
pC,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
dwB,-2.29487,0.0888,-2.32844,0.04568,-2.04667,0.03345,-1.92915,0.05467999999999999,-1.9520099999999998,0.03242,-1.03462,0.58683,-2.10147,0.07274,-5.0,21.216839999999998,-1.93452,0.13135
dwC,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
kexAB,3101.91992,473.99444000000005,2039.3804,484.37254,1529.717,207.47404,3475.48688,400.89304,2762.84746,265.27871,18608.12744,8069.04655,2025.92652,474.29532,23268.3968,59571.62481,1700.91647,903.67528
kexAC,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
kexBC,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
R1,1.9206599999999998,0.03203,2.15003,0.02708,2.1163,0.03129,2.32326,0.03232,3.5821300000000003,0.0373,3.05797,0.03441,16.596770000000003,0.17581,13.877289999999999,0.11525,9.2869,0.10615
R2,12.73498,0.6514,13.361460000000001,0.26786,12.776010000000001,0.44595,12.2328,0.57414,15.4056,0.51317,11.35288,1.68623,32.14479,2.79358,18.03346,15.80826,27.99373,1.46651
rchi2,13.199000000000002,0.0,62.376999999999995,0.0,3.9530000000000003,0.0,4.53,0.0,2.113,0.0,1.285,0.0,8.145,0.0,16.901,0.0,0.596,0.0
