param1,fitval1,fiterror1,fitval2,fiterror2,fitval3,fiterror3,fitval4,fiterror4,fitval5,fiterror5,fitval6,fiterror6,fitval7,fiterror7,fitval8,fiterror8,fitval9,fiterror9
pB,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
pC,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
dwB,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
dwC,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
kexAB,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
kexAC,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
kexBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
R1,2.0384599999999997,0.050460000000000005,2.21063,0.06235,2.26211,0.06261,2.33607,0.06191,3.51985,0.11497,3.00855,0.03315,16.972179999999998,0.25759,13.86989,0.09489,9.24747,0.11625
R2,17.59346,0.5979300000000001,16.992279999999997,0.46353,17.76231,0.71909,19.38794,0.65971,26.605809999999998,1.14434,17.92863,0.31840999999999997,50.0,3.56656,27.25542,1.21127,33.85816,1.2156799999999999
rchi2,35.174,0.0,429.543,0.0,20.257,0.0,21.2,0.0,23.503,0.0,1.7730000000000001,0.0,20.134,0.0,16.945,0.0,0.7909999999999999,0.0
